  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.900 (top)        0.800 (bottom)  
 Mach =   0.000     Re =     0.330 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -12.000  -0.3414   0.12623   0.11899  -0.0431   0.9000   0.0385  15.0352 185.1052
 -11.500  -0.3264   0.12019   0.11258  -0.0455   0.9000   0.0407  15.0352 185.7659
 -11.000  -0.3180   0.11283   0.10481  -0.0489   0.9000   0.0423  15.0352 186.2435
 -10.500  -0.3229   0.10318   0.09374  -0.0557   0.9000   0.0451  15.0352 187.0338
 -10.000  -0.2993   0.09884   0.09053  -0.0557   0.9000   0.0467  15.0352 187.4523
  -9.000  -0.3715   0.06131   0.05232  -0.0841   0.9000   0.0383  15.0352 185.0506
  -8.500  -0.3404   0.05792   0.04956  -0.0893   0.9000   0.0422  15.0352 186.2148
  -8.000  -0.4002   0.02126   0.01094  -0.1063   0.9000   0.0374  15.0352 184.7447
  -7.500  -0.3498   0.01921   0.00906  -0.1062   0.9000   0.0399  15.0352 185.5478
  -7.000  -0.2973   0.01752   0.00752  -0.1063   0.9000   0.0431  15.0352 186.4830
  -6.500  -0.2432   0.01616   0.00635  -0.1064   0.9000   0.0471  15.0352 187.5433
  -6.000  -0.1881   0.01502   0.00542  -0.1066   0.9000   0.0519  15.0352 188.7549
  -5.500  -0.1322   0.01403   0.00467  -0.1070   0.9000   0.0580  15.0352 190.1078
  -5.000  -0.0756   0.01325   0.00420  -0.1075   0.9000   0.0657  15.0352 191.6371
  -4.500  -0.0183   0.01260   0.00383  -0.1083   0.9000   0.0758  15.0352 193.4450
  -4.000   0.0380   0.01202   0.00347  -0.1086   0.8931   0.0898  15.8550 195.6281
  -3.500   0.0925   0.01136   0.00300  -0.1080   0.8765   0.1088  17.8097 198.2976
  -3.000   0.1473   0.01081   0.00262  -0.1074   0.8586   0.1361  19.9066 201.7622
  -2.500   0.2017   0.01035   0.00233  -0.1069   0.8385   0.1737  22.2519 206.2254
  -1.500   0.3105   0.00961   0.00194  -0.1059   0.7936   0.2913  27.4883 219.4001
  -1.000   0.3639   0.00917   0.00179  -0.1053   0.7691   0.3966  30.3458 231.0980
  -0.500   0.4105   0.00823   0.00183  -0.1033   0.7436   0.7120  33.3115 265.8399
   0.000   0.4614   0.00813   0.00177  -0.1017   0.7171   0.8000  36.3876 275.5765
   0.500   0.5168   0.00834   0.00170  -0.1013   0.6902   0.8000  39.5105 275.5765
