
# QPROP Version 1.22
# 
# Simple propeller input file: 10x55MR                                            
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000      motor parameter 1 ,  R  (Ohms) 
#   0.77000      motor parameter 2 ,  Io (Amps) 
#    2760.0      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   6953.      0.000   8.303      0.1361       99.12      14.956   40.1183   0.1652   0.0000   0.00000  0.1302E-07  0.4271E-10   0.4154   0.0000   600.0       0.000       1.1300  0.6553E-01
    1.000   6941.      0.000   8.113      0.1362       98.97      14.953   40.1245   0.1650   0.0820   0.00028  0.1277E-07  0.4286E-10   0.0810   0.0135   600.0       8.113       1.1056  0.6034E-01
    2.000   6934.      0.000   7.910      0.1362       98.88      14.952   40.1283   0.1648   0.1600   0.00055  0.1248E-07  0.4295E-10   0.0407   0.0264   600.0       15.82       1.0778  0.5541E-01
    3.000   6932.      0.000   7.697      0.1362       98.85      14.952   40.1293   0.1648   0.2336   0.00083  0.1215E-07  0.4298E-10   0.0265   0.0385   600.0       23.09       1.0466  0.5077E-01
    4.000   6945.      0.000   7.495      0.1362       99.02      14.954   40.1225   0.1650   0.3028   0.00110  0.1178E-07  0.4281E-10   0.0194   0.0500   600.0       29.98       1.0123  0.4570E-01
    5.000   6958.      0.000   7.265      0.1361       99.19      14.957   40.1155   0.1653   0.3662   0.00137  0.1138E-07  0.4264E-10   0.0151   0.0605   600.0       36.33       0.9745  0.4193E-01
    6.000   6982.      0.000   7.034      0.1361       99.50      14.961   40.1029   0.1658   0.4242   0.00164  0.1094E-07  0.4234E-10   0.0122   0.0703   600.0       42.20       0.9339  0.3856E-01
    7.000   7016.      0.000   6.803      0.1360       99.94      14.968   40.0845   0.1666   0.4765   0.00191  0.1048E-07  0.4190E-10   0.0101   0.0794   600.0       47.62       0.8910  0.3560E-01
    8.000   7065.      0.000   6.577      0.1359       100.6      14.978   40.0589   0.1676   0.5232   0.00216  0.9991E-08  0.4130E-10   0.0085   0.0877   600.0       52.61       0.8463  0.3292E-01
    9.000   7127.      0.000   6.357      0.1358       101.4      14.990   40.0257   0.1690   0.5644   0.00241  0.9489E-08  0.4054E-10   0.0073   0.0954   600.0       57.21       0.8003  0.3053E-01
   10.000   7203.      0.000   6.139      0.1357       102.3      15.005   39.9856   0.1706   0.5998   0.00265  0.8971E-08  0.3966E-10   0.0064   0.1023   600.0       61.39       0.7534  0.2887E-01
   11.000   7291.      0.000   5.928      0.1355       103.5      15.023   39.9395   0.1724   0.6303   0.00288  0.8457E-08  0.3867E-10   0.0056   0.1087   600.0       65.21       0.7071  0.2746E-01
   12.000   7390.      0.000   5.726      0.1353       104.7      15.042   39.8872   0.1746   0.6561   0.00310  0.7951E-08  0.3759E-10   0.0050   0.1145   600.0       68.72       0.6620  0.2630E-01
   13.000   7501.      0.000   5.532      0.1351       106.1      15.064   39.8287   0.1769   0.6776   0.00331  0.7457E-08  0.3643E-10   0.0044   0.1199   600.0       71.92       0.6182  0.2536E-01
   14.000   7623.      0.000   5.347      0.1349       107.7      15.089   39.7643   0.1795   0.6950   0.00351  0.6977E-08  0.3521E-10   0.0040   0.1248   600.0       74.86       0.5761  0.2462E-01
   15.000   7757.      0.000   5.170      0.1347       109.4      15.116   39.6941   0.1823   0.7088   0.00369  0.6515E-08  0.3394E-10   0.0036   0.1292   600.0       77.54       0.5359  0.2406E-01
   16.000   7902.      0.000   5.000      0.1344       111.2      15.145   39.6182   0.1854   0.7193   0.00387  0.6072E-08  0.3265E-10   0.0032   0.1333   600.0       80.00       0.4977  0.2363E-01
   17.000   8058.      0.000   4.840      0.1341       113.2      15.176   39.5367   0.1886   0.7269   0.00403  0.5652E-08  0.3133E-10   0.0030   0.1371   600.0       82.27       0.4616  0.2328E-01
   18.000   8224.      0.000   4.688      0.1338       115.3      15.209   39.4498   0.1921   0.7321   0.00418  0.5255E-08  0.3001E-10   0.0027   0.1406   600.0       84.38       0.4278  0.2298E-01
   19.000   8401.      0.000   4.544      0.1335       117.5      15.245   39.3579   0.1958   0.7351   0.00432  0.4882E-08  0.2869E-10   0.0025   0.1439   600.0       86.34       0.3963  0.2270E-01
   20.000   8587.      0.000   4.409      0.1332       119.8      15.282   39.2613   0.1996   0.7363   0.00445  0.4533E-08  0.2739E-10   0.0023   0.1470   600.0       88.17       0.3669  0.2244E-01
   21.000   8782.      0.000   4.279      0.1328       122.1      15.322   39.1606   0.2036   0.7357   0.00457  0.4208E-08  0.2612E-10   0.0021   0.1498   600.0       89.87       0.3396  0.2220E-01
   22.000   8984.      0.000   4.156      0.1325       124.6      15.363   39.0560   0.2077   0.7337   0.00468  0.3904E-08  0.2489E-10   0.0020   0.1524   600.0       91.44       0.3143  0.2196E-01
   23.000   9194.      0.000   4.039      0.1321       127.2      15.405   38.9479   0.2120   0.7304   0.00478  0.3622E-08  0.2370E-10   0.0018   0.1548   600.0       92.89       0.2909  0.2173E-01
   24.000   9411.      0.000   3.926      0.1317       129.8      15.449   38.8367   0.2163   0.7258   0.00487  0.3361E-08  0.2255E-10   0.0017   0.1570   600.0       94.21       0.2693  0.2151E-01
   25.000   9634.      0.000   3.817      0.1313       132.5      15.495   38.7228   0.2208   0.7202   0.00496  0.3118E-08  0.2145E-10   0.0016   0.1590   600.0       95.42       0.2493  0.2129E-01

