  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.060 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -0.4273   0.17729   0.16986  -0.0184   1.0000   0.1050
 -14.500  -0.4134   0.17161   0.16423  -0.0212   1.0000   0.1090
 -14.000  -0.4069   0.16771   0.16038  -0.0248   1.0000   0.1145
 -13.500  -0.3860   0.16040   0.15310  -0.0260   1.0000   0.1207
 -13.000  -0.3724   0.15437   0.14712  -0.0280   1.0000   0.1259
 -12.500  -0.3639   0.14898   0.14180  -0.0304   1.0000   0.1319
 -12.000  -0.3636   0.14490   0.13783  -0.0332   1.0000   0.1387
 -11.500  -0.3499   0.13848   0.13145  -0.0341   1.0000   0.1465
 -11.000  -0.3398   0.13247   0.12552  -0.0350   1.0000   0.1547
 -10.500  -0.3325   0.12671   0.11985  -0.0356   1.0000   0.1630
 -10.000  -0.3303   0.12144   0.11469  -0.0360   1.0000   0.1718
  -9.500  -0.3331   0.11656   0.10995  -0.0359   1.0000   0.1807
  -9.000  -0.3412   0.11205   0.10561  -0.0350   1.0000   0.1897
  -8.500  -0.3305   0.10591   0.09958  -0.0322   1.0000   0.2007
  -8.000  -0.3381   0.10158   0.09542  -0.0291   1.0000   0.2116
  -7.500  -0.3579   0.09811   0.09215  -0.0247   1.0000   0.2223
  -7.000  -0.3877   0.09523   0.08950  -0.0188   1.0000   0.2317
  -6.500  -0.4214   0.09207   0.08657  -0.0147   1.0000   0.2423
  -6.000  -0.4329   0.08746   0.08210  -0.0109   1.0000   0.2551
